epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,224.618,1.56751,4.98494,0.00486,0.5886,0.47931,0.49916,0.32291,1.33242,1.86148,0.00553,5.98281e-05,5.98281e-05,5.98281e-05
2,511.066,1.55684,1.69145,0.005,0.65167,0.47019,0.47934,0.30326,1.41858,1.29178,0.00647,0.000119821,0.000119821,0.000119821
3,649.494,1.63016,1.35253,0.00548,0.48668,0.42085,0.44534,0.24695,1.54278,1.29305,0.00782,0.000179784,0.000179784,0.000179784
4,759.631,1.69291,1.21365,0.00568,0.52417,0.36848,0.38864,0.22032,1.60799,1.34422,0.00801,0.000239696,0.000239696,0.000239696
5,888.946,1.7115,1.18755,0.00597,0.32731,0.44921,0.4043,0.23473,1.6818,1.3818,0.00897,0.000299535,0.000299535,0.000299535
6,997.612,1.70851,1.18093,0.00599,0.54688,0.43218,0.41857,0.23392,1.67634,1.30667,0.00877,0.000299542,0.000299542,0.000299542
7,1106.69,1.71106,1.11536,0.00601,0.64202,0.38758,0.41095,0.23781,1.67405,1.34685,0.00889,0.000299341,0.000299341,0.000299341
8,1215.91,1.68644,1.05473,0.00577,0.58282,0.38466,0.43933,0.22042,1.68369,1.23311,0.00897,0.000299103,0.000299103,0.000299103
9,1324.61,1.68397,1.04338,0.00581,0.58385,0.37179,0.40665,0.21533,1.71438,1.24129,0.00886,0.000298829,0.000298829,0.000298829
10,1433.34,1.66068,0.98011,0.0057,0.56065,0.42173,0.45625,0.25447,1.65226,1.23415,0.00827,0.000298519,0.000298519,0.000298519
11,1542.53,1.6548,0.92683,0.00559,0.5622,0.42062,0.45732,0.25306,1.67488,1.19362,0.00848,0.000298172,0.000298172,0.000298172
12,1651.21,1.61263,0.88487,0.00536,0.62106,0.41152,0.46097,0.26944,1.65803,1.18273,0.00846,0.000297789,0.000297789,0.000297789
13,1759.93,1.60814,0.8652,0.0052,0.60241,0.41078,0.43601,0.26184,1.72252,1.18896,0.00869,0.00029737,0.00029737,0.00029737
14,1869.08,1.59077,0.84044,0.00512,0.67087,0.40917,0.47804,0.26787,1.66634,1.1355,0.00812,0.000296915,0.000296915,0.000296915
15,1977.72,1.5736,0.84381,0.00515,0.65169,0.43974,0.46981,0.26874,1.64565,1.16671,0.00835,0.000296424,0.000296424,0.000296424
16,2086.43,1.56432,0.81295,0.00507,0.72753,0.41722,0.45607,0.2715,1.65886,1.24319,0.00832,0.000295897,0.000295897,0.000295897
17,2195.74,1.56491,0.82664,0.00512,0.56408,0.42121,0.4301,0.25866,1.69673,1.19684,0.00839,0.000295335,0.000295335,0.000295335
18,2304.43,1.55868,0.79697,0.00491,0.60153,0.45214,0.475,0.26675,1.66661,1.13463,0.00826,0.000294737,0.000294737,0.000294737
19,2413.2,1.54682,0.76905,0.00489,0.67804,0.41764,0.47369,0.2735,1.65033,1.1523,0.00844,0.000294104,0.000294104,0.000294104
20,2522.68,1.52845,0.74668,0.00485,0.59473,0.45764,0.4861,0.30025,1.63328,1.1331,0.008,0.000293435,0.000293435,0.000293435
21,2631.36,1.53096,0.7394,0.00494,0.6031,0.44147,0.47942,0.26995,1.65812,1.11921,0.00825,0.000292732,0.000292732,0.000292732
22,2740.06,1.52076,0.7155,0.00485,0.55578,0.44762,0.46116,0.26221,1.65204,1.1296,0.00825,0.000291994,0.000291994,0.000291994
23,2849.44,1.51815,0.69637,0.0047,0.6728,0.45041,0.47992,0.27254,1.64963,1.06058,0.00812,0.000291221,0.000291221,0.000291221
